Ad technology provider;Privacy URL
Airtory;https://www.airtory.com/privacy-policy
Airtory Inc;https://www.airtory.com/privacy-policy
Akamai;http://www.akamai.com/compliance/privacy
AKTYVUS SEKTORIUS;https://www.eskimi.com/privacy-policy
AlgoriX Technology Pte. Ltd.,;https://www.algorix.co/privacy-policy/
AlikeAudience;https://alikeaudience.com/privacy-policy/
Alion;https://www.alion.nl/privacy/
Alkami Technology, Inc.;https://www.alkami.com/privacy-policy/
Alkemics;https://www.alkemics.com/privacy/
Alkimi;https://www.alkimi.org/privacy-policy
Allegro.pl sp. z o. o.;https://allegro.pl/help/for-buyers/account-settings/gdpr-general-information-PDEZ4dlKmUO
Aller Media AS;https://personvern.aller.no/
Alliance Gravity Data Media;https://www.alliancegravity.com/politiquedeprotectiondesdonneespersonnelles
AllMediaDesk GmbH;https://www.audio-cc.com/audiocc_privacy_policy.pdf
Alooma;http://alooma.tv/privacypolicy.htm
Alphalyr SAS;https://alphalyr.fr/marketing-studio-traitements-donnees-personnelles/
Alphonso.tv;https://alphonso.tv/privacy/
Altice Media Ads & Connect;https://www.bfmtv.com/politique-donnees-personnelles/
Amagi Corporation;https://www.amagi.com/service-privacy-policy/
Amazon;https://www.amazon.co.uk/gp/help/customer/display.html?nodeId=201909010
Amino Payments, Inc.;https://integralads.com/ias-privacy-data-management/
Amobee;https://www.amobee.com/trust/privacy-guidelines
Amp.ai by Scaled Inference;https://scaledinference.com/privacy-policy
Ampliffy;https://www.ampliffy.com/en/legal/privacy-policy
Amplified Intelligence;https://www.amplifiedintelligence.com.au/privacy-policy/
Amplified IntelligenceTechnologies;https://www.amplifiedintelligence.com.au/privacy-policy/
Animmoov Media;https://www.animmoov.com/privacy-policy.html
ANINPRO-CREATIVE, S.L.;https://bealion.com/wp-content/uploads/2023/08/POLITICA-DE-COOKIES-BE-A-LION-2023-v2.pdf
AniView Ltd;https://www.aniview.com/privacy-policy/
Anonymised;https://www.anonymised.io/privacy
Anonymised;https://www.anonymised.io/privacy
Ansira Partners;https://www.ansira.com/PrivacyPolicy
Answer Media;http://www.answermedia.com/privacy
Anteriad, LLC;https://www.anteriad.com/privacy-policy
AntVoice;https://www.antvoice.com/en/privacypolicy/
Anzu Virtual Reality LTD;https://www.anzu.io/privacy-policy
Apester Ltd;https://apester.com/privacy-policy/
APEX Mobile Media;https://www.apexmobilemedia.com/privacy-policy
APNIC;https://labs.apnic.net/privacy.shtml
AppGrowth Inc.;https://s3.amazonaws.com/appgrowth-cloud/legal/Privacy-Policy-Appgrowth.pdf
Appier;https://www.appier.com/privacy_policy/latest/privacy_policy.html
AppLovin Corp.;https://www.applovin.com/privacy
Appmonsta Ltd;https://appmonsta.ai/privacy
AppNexus (Xandr) Inc;https://www.xandr.com/privacy/
AppsFlyer;https://www.appsflyer.com/privacy-policy/
appTV;https://www.apptv.com/privacy-policy
Arago;https://arago.com/fr/politique-de-confidentialite/
Arbigo Inc.;http://www.arbigo.com/terms--policy.html
Arcanor Bilgi Teknolojileri ve Hizmetleri A.Ş.;https://www.arcanor.com/privacy
Archon Programmatic House FZC;https://archonph.com/privacy-policy
ArcSpan Technologies, Inc.;https://www.arcspan.com/privacy-policy/
Arcspire;https://public.arcspire.io/privacy.pdf
Arkeero;https://arkeero.com/privacy/
Armis;https://armis.tech/en/armis-personal-data-privacy-policy/
Arpeely;https://arpeely.com/yourprivacy
Arrivalist;https://www.arrivalist.com/privacy#gdpr
Art of Click;http://www.artofclick.com/privacy-policy/
Artefact Deutschland GmbH;https://aaa.artefact.com/privacy-policy.do
Artsai;https://artsai.com/privacy/
Artworx AS;http://adserve.zone/adserveprivacypolicy.html
Aryel s.r.l.;https://aryel.io/wp-content/uploads/2023/09/AryelSrl_PrivacyPolicy_202309.pdf
Ask Locala (F.K.A Fusio by S4M);https://asklocala.com/privacy-policy/
Astromotion;http://astromotiongames.com/gdpr
AT Internet;https://www.atinternet.com/en/company/data-protection/
Atedra;https://www.atedra.com/privacy-policy/
Audience Network;https://audiencenetwork.pl/en/internet-advertising-privacy-policy
Audience Solutions;https://justtag.com/POLITYKA_PRYWATNOSCI.pdf
Audience2Media;https://www.audience2media.com/privacy
AudienceProject;https://privacy.audienceproject.com/
AudienceRate;http://audiencerate.com/privacy/
AudienceRun;https://www.audiencerun.com/privacy-policy
Audiencevalue;https://www.audiencevalue.com/legal.php
Audienzz AG;https://www.audienzz.ch/datenschutz
AuDigent;https://audigent.com/platform-privacy-policy
AUDIOMOB LTD;https://www.audiomob.com/privacy
Audion;https://www.audion.fm/en/privacy
Aunica;https://aunica.com/privacy-policy/
Avantis Video;https://www.avantisvideo.com/privacy-policy/
Avocet;http://avocet.io/privacy-portal
Awin;https://www.awin.com/gb/privacy
Axel Kaufmann ApS;https://www.kaufmann.dk/kundeservice/persondatapolitik
Axel Springer Teaser Ad GmbH;https://www.adup-tech.com/en/privacy-policy/
Axonix;https://axonix.com/privacy-cookie-policy/
Azameo;http://www.azameo.fr/en/privacy-policy-notice/
Azerion Holding B.V.;https://static.gamedistribution.com/policy/privacy-enduser.html
AZURE TECH PTY LTD;https://www.azurebid.com/privacy-policy
B2BIQ - AdServer;https://b2bmg.net/en/data-privacy
Bababam;https://www.bababam.com/privacy
bam! Interactive marketing GmbH;https://bam-interactive.de/datenschutz/
Bannercloud.io;https://www.bannercloud.io/privacy-policy
Bannerflow;https://www.bannerflow.com/privacy
BannerNow;https://bannernow.com/privacy
Bannerse OÜ;https://bannerse.com/wp-content/uploads/2023/07/Privacy-Policy_2023_6_7_Bannerse.pdf
Bannerse OÜ;https://bannerse.com/wp-content/uploads/2023/07/Privacy-Policy_2023_6_7_Bannerse.pdf
Bannerwise;https://www.bannerwise.io/privacy-policy
BanterX Inc;https://www.banterx.com/privacy-policy.html
Barometric;https://barometric.com/privacy
Basis Technologies;https://privacy.basis.net/
Batch Media;https://theadex.com/privacy-opt-out/
Bauhof Group AS;https://www.bauhof.ee/kliendiandmete-kasutamise-pohimotted
BCOVERY SAS;https://www.bcovery.com/politique-de-confidentialite.html
BDSK Handels GmbH & Co. KG;https://www.xxxlutz.de/c/privacy
BEAPUP SOLUTIONS LTD;https://beapup.com/privacy-policy-2/
Bedrock Platform Ltd;https://bedrockplatform.com/privacy-policy/
Beeswax;https://www.beeswax.com/privacy.html
Beintoo;https://beintoo.com/privacy-cookie-policy-2/
Belboon;https://belboon.com/en/privacy/
BeOp;https://beop.io/privacy-policy/
Bertelsmann Data Service GmbH;https://www.bertelsmann.de/meta/datenschutz/
bet365;https://help.bet365.com/en/privacy-policy
Betgenius;https://ssl.connextra.com/resources/Connextra/privacy-policy/index-v2.html
Better Ads GmbH;http://www.d3sv.net/privacy/
Better Collective A/S;https://bettercollective.com/privacy-policy/
Between Exchange;https://en.betweenx.com/pdata.pdf
BEYOND X;https://www.cci.co.jp/privacypolicy/
BidBerry SRL;https://www.bidberrymedia.com/service-privacy-policy/
Biddeo Ad Server;https://biddeo.me/en/gdpr-basic-information.html
Bidease;https://bidease.com/terms-of-use
Bidmachine;https://bidmachine.io/privacy-policy/
BidMachine Inc.;https://bidmachine.io/privacy-policy/
Bidmatic Inc;https://bidmatic.io/privacy-policy/
BIDSCUBE SP. Z O.O;https://bidscube.com/privacy/
Bidtellect;https://www.bidtellect.com/gdpr-user-information
Bidtheatre;https://www.bidtheatre.com/privacy-policy
Big Happy;https://bighappy.co/privacy-policy/
Bigabid;https://www.bigabid.com/Legal/
BIGOAds;https://www.adsbigo.com/privacy.html
Bilendi;https://www.maximiles.com/privacy-policy
Bizible;https://www.bizible.com/gdpr
BLIINK;https://bliink.io/privacy-policy
Blingby;https://blingby.com/privacy
Blismedia;https://blis.com/privacy/
Bliss Point Media;https://www.blisspointmedia.com/privacy
Blockthrough;https://blockthrough.com/privacy-policy/
Blue;https://getblue.io/privacy/
Blue Billywig;https://www.bluebillywig.com/privacy-statement/
Blue Dawn Marketing Consulting Group S.L.;https://www.getblue.io/privacy/
Blue Face co.,Ltd;https://www.clickmon.co.kr/home_new/rt_info.php
Bluecore, Inc.;https://www.bluecore.com/privacy/
Bluesea Holdings Hong Kong Limited;https://www.blueseasx.com/policy.html
Bluesummit;https://www.bluesummit.de/datenschutz/
bly;https://www.bly.ch/datenschutz/
BMind;https://bmind.es/privacy
BMS;https://www.bluems.com/privacy/en/
Boldwin LTD;https://bold-win.com/privacy-policy/
Bombora;http://bombora.com/privacy
Bonzai;https://www.bonzai.co/privacy-policy/
Booking.com;https://www.booking.com/content/privacy.en-gb.html
Boomplay;https://www.boomplay.com/privacyPolicy
Bootleg Digital LTD;https://kubico.com/privacy-policy/
Bose;https://www.bose.co.uk/en_gb/legal/cookie_policy.html
Boston Consulting Group;https://www.bcg.com/en-us/about/privacy-policy.aspx
BotTalk UG (haftungsbeschränkt);https://bottalk.io/privacy
BounceX;https://bouncex.com/privacy/
Brainworkz;https://brainworks.pl/index.php?option=com_content&view=article&id=83
Branch;https://branch.io/policies/
Brancher.X;https://brancherx.com/adserver-privacy-policy/
Brand Metrics;https://collector.brandmetrics.com/brandmetrics_privacypolicy.pdf
Brandhouse/Subsero A/S;https://subserohost.com/privacy_policy.aspx
Brave People Ltd.;https://thebrave.io/privacy-policy/
Bridgewell;https://www.bridgewell.com/privacy/
BridTV;https://cms.brid.tv/pages/view/privacy
BrightLine Partners LLC;https://cdn-media.brightline.tv/sdk/tcf/privacy_policy.html
Browsi;https://browsi.com/privacy-policy-2/
BSmartData;https://ad.bsmartdata.com/privacy.php?lang=en
Bucksense;https://www.bucksense.com/platform-privacy-policy/
Businessclick Sp. z o.o.;https://www.businessclick.com/documents/Privacy_Policy.pdf
Butlers GmbH & Co. KG;https://www.butlers.com/COMPANY_PRIVACY.html
Buzzoola;https://buzzoola.com/en/privacy
Bytelogics;https://beta.facewallet.io/privacy-policy/
C Wire AG;https://www.cwire.com/privacy-policy
C3 Metrics;https://www.c3metrics.com/privacy-policy
Cablato;https://cablato.com/privacy-policy/
Calzedonia;https://world.calzedonia.com/custserv/custserv.jsp?pageName=faq-legal-information#tab1
CapitalData;https://www.capitaldata.fr/politique-de-confidentialite/
Captify;http://www.captify.co.uk/technologies/brand-safety
Caroda s.r.o.;https://www.caroda.io/privacy-statement
Carrefour;https://www.carrefour.es/politica-de-privacidad/mas-info/
CASTOOLA D.O.O.;https://castoola.com/wp-content/uploads/2022/01/castoola_pp_06.01.2022.pdf
Cauly;https://www.cauly.net/index.html#/home/privacy4
Cavai;http://cav.ai/privacy-policy/
Cazamba Serviços de Internet Ltda;https://cazamba.com/platform-privacy/
Cedato;https://www.cedato.com/privacy-policy/
Celtra;https://www.celtra.com/privacy-policy/
Chalk Digital;https://www.chalkdigital.com/index.php/privacy-policy-2/
Channel Four Television Corporation;https://www.channel4.com/4viewers/policies-overview
Channel99;https://www.channel99.com/privacy-policy/
ChannelAdvisor;https://www.channeladvisor.com/privacy-policy/
Chartboost;https://answers.chartboost.com/en-us/articles/200780269
Cheetah Mobile;https://www.cmcm.com/en/policies/privacy-policy
Cheq;https://www.cheq.ai/privacy
Chocolate Platform;https://chocolateplatform.com/privacy-policy/
CIBLECLIC;https://uzerly.fr/terms-and-conditions/
Cint;https://www.cint.com/participant-privacy-notice/
CITISERVI EUROPE, S.L.;https://www.citiservimedia.com/politica-de-privacidad-plataforma-citiservimedia/
Clario;https://www.clar.io/privacy
Claritas LLC;https://claritas.com/privacy-legal/
clean.io;https://clean.io/privacy-policy/
CleverPush GmbH;https://cleverpush.com/en/privacy/
Click2Buy;https://www.click2buy.com/privacy-policy/
Clickadu;https://www.clickadu.com/privacy
Clickagy;https://www.clickagy.com/privacy/
Clickagy LLC;https://www.clickagy.com/privacy/
ClickForce;https://www.clickforce.com.tw/edcontent.php?lang=tw&tb=15
ClickOcean;https://novilimited.com/clickoceanprivacypolicy
Clickwise;https://clickwise.net/section/terms
Clinch;https://clinch.co/pages/privacy.html
Clipcentric GmbH;https://clipcentric.de/datenschutzerklaerung/
Clipcentric, Inc.;https://clipcentric.com/privacy.bhtml
Clipflip interactive video;https://www.clipflip.video/data-privacy#tcf
Clipr;https://clipr.co/privacy-terms
Cloud Technologies;http://green.erne.co/assets/PolicyCT.pdf
Cloudflare;https://www.cloudflare.com/security-policy/
Cloudinary, Inc.;https://cloudinary.com/privacy
Cluep Inc.;https://cluep.com/privacy/notice
CMI Marketing, Inc. d/b/a Raptive;https://cafemedia.com/publisher-advertising-privacy-policy/
CND Motion Media GmbH;https://www.cnd-motionmedia.de/media/pdf/datenschutz_b2b.pdf
CoAdvertise;http://www.coadvertise.com/en/gdpr/
Codevelop Technologies;https://codevelop.io/en/privacy
Codevelop Technologies GmbH;https://codevelop.io/en/privacy
Coinzilla;https://coinzilla.com/privacy-policy/
CollegeHumor;https://www.dropout.tv/privacy
Colossus Media LLC;https://colossusmediassp.com/privacy-policy
Combell;https://www.combell.com/nl/over-combell/privacy-policy
Commanders Act;https://www.commandersact.com/en/privacy/
communicationAds;https://www.communicationads.net/aboutus/privacy/
comScore;https://www.comscore.com/About-comScore/Privacy-Policy
ConceptX ApS;https://www.conceptx.com/privacy
Confiant Inc.;https://www.confiant.com/privacy
congstar;https://www.congstar.de/fileadmin/files_congstar/documents/2019/Datenschutz/Datenschutzhinweise_congstar_Webseite.pdf
Connatix;https://connatix.com/privacy-policy/
ConnectAd Demand GmbH;https://connectadrealtime.com/privacy/
Connected-Stories;https://www.connected-stories.com/privacy
Connexity;http://connexity.com/gb/privacy-policy/
Conrad;https://www.conrad.de/de/ueber-conrad/rechtliches/datenschutz
Constant Contact;https://www.constantcontact.com/legal/privacy-statement
Constellation Software, Inc;https://www.helloconstellation.com/privacy/
Consumable;https://consumable.com/privacy-policy/
Consumable, Inc;https://consumable.com/privacy-policy/
Content Ignite;https://www.contentignite.com/gdpr/
Contimo APS;https://www.contimo.io/privacy-policy
CONTXTFUL;https://www.contxtful.com/Privacy/
Converge-Digital;https://converge-digital.com/privacy-policy/
Conversion Logic;http://www.conversionlogic.com/privacy-policy-overview/
Conversive;https://conversive.nl/privacy/
Convo Ink;https://www.convo.ink/privacy-policy
Cookie Market LTD;https://cookie.market/privacyPolicy.php
Cortex;http://www.heraldweekly.com/privacy-policy/
Coupang;https://www.coupang.com/np/policies/privacy
coupling media;https://www.coupling-media.de/datenschutz.html
Covatic Ltd;https://covatic.com/terms/
Creatives;https://creatives.no/personvern/
Creatopy INC;https://www.creatopy.com/legal-information/privacy-policy/
Credebat;https://www.credebat.com/privacy-policy
Crimtan;https://crimtan.com/privacy-ctl/
Criteo;https://www.criteo.com/privacy
CrossInstall, Inc;https://www.crossinstall.com/data
crossvertise GmbH;https://www.crossvertise.com/rechtliches/datenschutz
Crucial Interactive Inc.;https://www.advertisers.contobox.com/privacy-policy
Crutchfield;https://www.crutchfield.com/support/privacy.aspx
CTP TECH, LLC;https://www.creatopy.com/legal-information/privacy-policy/
CUBED;http://cubed.ai/privacy-policy/gdpr/
Cuebiq;https://www.cuebiq.com/privacypolicy/
CyberAgent;https://privacy-policy.cyberagent.ai/index-en.html
cynapsis interactive GmbH;https://www.cynapsis.de/impressum#datenschutz
Czech Publisher Exchange z.s.p.o.;https://www.cpex.cz/pro-uzivatele/ochrana-soukromi/
D-Block;https://d-block.fr/politique-confidentialite/
D4;https://www.dentsu.com/nz/en/policies/privacy-notices
DAC;http://www.dac.co.jp/english/utility/rule
Dailymotion;https://legal.dailymotion.com/en/privacy-policy/
Dando online LTD;https://singularads.com/policy/
DAPP GLOBAL LIMITED;http://ad.duapps.com/gdpr/
Data2Decisions;http://data2decisions.com/privacy-and-cookie-policy/
Datablocks, Inc;https://datablocks.net/privacy.html
DataDome SA;https://datadome.co/privacy-policy/
DataExchanger;https://www.dataexchanger.pl/privacy-policy
Datafy;http://www.datafy-software.com/cookie-policy/
Datalicious;https://www.datalicious.com/privacy/
Dataseat;https://dataseat.com/privacy-policy
DataWave LTD;https://mydatawave.com/privacy.html
dataXtrade GmbH;https://dataxtrade.com/de/privacy.html
DaVinci11;http://www.adsfactor.com/gdpr.html
Decentralised Advertising;https://dahq.io/privacy-policy
DeepIntent;https://www.deepintent.com/platformprivacypolicy
DEFINE MEDIA GMBH;https://www.definemedia.de/datenschutz-conative/
Delta Air Lines;https://www.delta.com/us/en/legal/privacy-and-security
DeltaX;http://www.deltax.com/gdpr.html
Demand Side Science, Inc.;http://demand-side-science.jp/privacy
Demandbase;https://www.demandbase.com/privacy-policy/
DENTSU;http://www.dentsu.co.jp/terms/data_policy.html
Dentsu A/S;https://www.dentsu.com/dk/dk/privatlivspolitik
Dentsu Aegis Network;http://www.dentsu.com/termsofuse/data_policy.html
Dentsu Italia SpA;https://www.dentsu.com/it/it/policies/info-cookie
Dentsu UK Limited;https://privacy.metadsp.co.uk/privacy-policy.html
Dianomi;https://www.dianomi.com/legal/privacy.epl
Digiseg;https://digiseg.io/privacy-center/
Digital Ad Systems, Corp.;https://eu.dashboard.digitaladsystems.com/privacy.html
Digital Brain Nordic AB;https://samhub.io/privacy-center/privacy-policy/
Digital Hub Hannover GmbH;https://www.digitalhub-h.de/datenschutz/
Digital Matter, UAB;https://digitalmatter.ai/en/privacy-policy
DIGITAL SQUAD;https://www.squadata.net/en/private-policy
Digital Turbine Media, Inc;https://www.digitalturbine.com/privacy-policy/
digitalAudience;https://digitalaudience.io/legal/
Digitaleast;https://www.digitaleast.mobi/en/privacy-policy/
Digitalist Group;https://digitalist.global/privacy-policy/
Digitalsunray;https://www.digitalsunray.com/de/datenschutz
DIGITEKA Technologies;https://www.ultimedia.com/default/presentation/cgu
direct interactive;https://www.apartena.net/datenschutzerklaerung.html
Discover-Tech LTD;http://discover-tech.io/dsp-privacy-policy/
Display.direct;https://display.direct/wp-content/uploads/2018/04/Privacy-Policy.pdf
DISQO;https://www.disqo.com/privacy-policy/
Disqus;https://help.disqus.com/en/articles/1717103-disqus-privacy-policy
DistroScale;http://www.distroscale.com/about/privacy-policy/
Divvit AB;https://www.divvit.com/privacy
DM3 Concepts B.V.;https://www.dm3concepts.com/privacy-policy/
Doceree UK Limited;https://doceree.com/uk/uk-privacy-policy/
Domob;https://www.domob.cn/article?id=advertiserPlatformPrivacyPolicy
Double Check;https://adchex.com/privacy-policy/
DoubleVerify;https://www.doubleverify.com/privacy/
dpa-infocom GmbH;https://service.dpa-infocom.de/de/support/solutions/articles/202000032830-informationen-zum-datenschutz-f%C3%BCr-die-user-unserer-kunden
DPG Media BV;https://www.persgroep.nl/privacy
DrivenIQ Corporation;https://app.visitiq.io/privacy-policy.html
Dstillery;https://dstillery.com/privacy-policy/
DT Exchange (Fyber Monetization);https://www.fyber.com/legal/gdpr-faqs/
Dumarca Gaming Ltd;https://www.verajohn.com/about/privacy-policy
